Name,Canonical_Smiles,SMARTS
"{2,3-DI(2-PYRIDYL)OXIRANE-2-CARBOXAMIDE}",NC(=O)C1(OC1c2ccccn2)c3ccccn3,[#6]1(-[#6](=[#8])-[#7])(-[c]2:[n]:[c]:[c]:[c]:[c]2)-[#8]-[#6]1-[c]3:[n]:[c]:[c]:[c]:[c]3
"{ETHYL 5-HYDROXY-6,8-DI(OXIRAN-2-YLMETHYL)-4-OXO-4H-CHROMENE-2-CARBOXYLATE}",CCOC(=O)C1=CC(=O)c2c(O)c(CC3CO3)cc(CC4CO4)c2O1,[c]12:[c](-[#6](=[#8])-[#6]=[#6](-[#6](=[#8])-[#8]-[#6]-[#6])-[#8]1):[c](:[c](-[#6]-[#6]3-[#8]-[#6]3):[c]:[c]2-[#6]-[#6]4-[#8]-[#6]4)-[#8]
{8-METHOXY-5-(OXIRAN-2-YLMETHOXY)-2-PROPYL-4H-CHROMEN-4-ONE},CCCC1=CC(=O)c2c(OCC3CO3)ccc(OC)c2O1,[c]12:[c](-[#6](=[#8])-[#6]=[#6](-[#6]-[#6]-[#6])-[#8]1):[c](-[#8]-[#6]-[#6]3-[#8]-[#6]3):[c]:[c]:[c]2-[#8]-[#6]
"{3,3-DIPHENYLOXIRANE-2-CARBONITRILE}",N#CC1OC1(c2ccccc2)c3ccccc3,[#6]1(-[#8]-[#6]1-[#6]#[#7])(-[c]2:[c]:[c]:[c]:[c]:[c]2)-[c]3:[c]:[c]:[c]:[c]:[c]3
"{3,3-DIMETHYL-OXIRANE-2-CARBONITRILE}",CC1(C)OC1C#N,[#6]1(-[#6])(-[#6])-[#8]-[#6]1-[#6]#[#7]
{[2-(METHOXYMETHOXY)PHENYL][3-(4-NITROPHENYL)OXIRAN-2-YL]METHANONE},COCOc1ccccc1C(=O)C2OC2c3ccc(cc3)[N+](=O)[O-],[#6]1(-[#8]-[#6]1-[#6](=[#8])-[c]2:[c]:[c]:[c]:[c]:[c]2-[#8]-[#6]-[#8]-[#6])-[c]3:[c]:[c]:[c](-[#7+](-[#8-])=[#8]):[c]:[c]3
{ETHYL 3-ISOPROPYL-3-METHYLOXIRANE-2-CARBOXYLATE},CCOC(=O)C1OC1(C)C(C)C,[#6]1(-[#6])(-[#6](-[#6])-[#6])-[#8]-[#6]1-[#6](=[#8])-[#8]-[#6]-[#6]
{1-(2-OXIRANYLMETHYL)-2-PYRROLIDINONE},O=C1CCCN1CC2CO2,[#7]1(-[#6]-[#6]-[#6]-[#6]1=[#8])-[#6]-[#6]2-[#8]-[#6]2
"{2-(2,6-DICHLOROPHENYL)-7-METHYL-5-PHENYL-1-OXA-5,6-DIAZASPIRO[2.4]HEPT-6-EN-4-ONE}",CC1=NN(C(=O)C12OC2c3c(Cl)cccc3Cl)c4ccccc4,[#6]12(-[#6](-[#6])=[#7]-[#7](-[c]3:[c]:[c]:[c]:[c]:[c]3)-[#6]1=[#8])-[#8]-[#6]2-[c]4:[c](-[#17]):[c]:[c]:[c]:[c]4-[#17]
{E-64C},CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@H]1O[C@@H]1C(=O)O,[#6@]1(-[#6](=[#8])-[#7]-[#6@@](-[#6]-[#6](-[#6])-[#6])-[#6](=[#8])-[#7]-[#6]-[#6]-[#6](-[#6])-[#6])-[#8]-[#6@@]1-[#6](=[#8])-[#8]
