Name,Canonical_Smiles,SMARTS,,,,,,,,,,
"{Butylated hydroxyanisole, 98 %}",COc1ccc(O)c(c1)C(C)(C)C.COc2ccc(O)cc2C(C)(C)C,[#6](-[c](:[c]:[c](-[#8]-[#6]):[c]:[c]1):[c]1-[#8])(-[#6])(-[#6])-[#6],,,,,,,,,,
"{2-Methyl-1-phenyl-2-propanol, 98 %}",CC(C)(O)Cc1ccccc1,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#6](-[#8])(-[#6])-[#6],,,,,,,,,,
"{4-Methoxy-1-naphthol, 97+ %}",COc1ccc(O)c2ccccc12,[#8](-[c]1:[c]:[c]:[c](-[#8]):[c](:[c]:[c]:[c]:[c]2):[c]12)-[#6],,,,,,,,,,
"{(+/-)-trans-2-Phenyl-1-cyclohexanol, 99 %}",O[C@@H]1CCCCC1c2ccccc2,[#8]-[#6@@]1-[#6]-[#6]-[#6]-[#6]-[#6]1-[c]2:[c]:[c]:[c]:[c]:[c]2,,,,,,,,,,
"{2-Indanol, 99 %}",OC1Cc2ccccc2C1,[#8]-[#6]1-[#6]-[c](:[c]:[c]:[c]:[c]2):[c]2-[#6]1,,,,,,,,,,
"{Tricyclohexylmethanol, 97 %}",OC(C1CCCCC1)(C2CCCCC2)C3CCCCC3,[#6](-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]1)(-[#6]2-[#6]-[#6]-[#6]-[#6]-[#6]2)(-[#6]3-[#6]-[#6]-[#6]-[#6]-[#6]3)-[#8],,,,,,,,,,
"{2-(Benzyloxy)phenol, 96 %}",Oc1ccccc1OCc2ccccc2,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1-[#8])-[#6]-[c]2:[c]:[c]:[c]:[c]:[c]2,,,,,,,,,,
"{4-Chlorophenethyl alcohol, 99 %}",OCCc1ccc(Cl)cc1,[#6](-[c]1:[c]:[c]:[c](-[#17]):[c]:[c]1)-[#6]-[#8],,,,,,,,,,
"{beta-Ethylphenethyl alcohol, 98 %}",CCC(CO)c1ccccc1,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[#6]-[#8])-[#6]-[#6],,,,,,,,,,
"{4-tert-Butylbenzyl alcohol, 98 %}",CC(C)(C)c1ccc(CO)cc1,[#6](-[c]1:[c]:[c]:[c](-[#6]-[#8]):[c]:[c]1)(-[#6])(-[#6])-[#6],,,,,,,,,,
